city,year,weekofyear,total_cases
sj,1994,14,13
sj,1994,15,18
sj,1994,16,14
sj,1994,17,17
sj,1994,18,22
sj,1994,19,13
sj,1994,20,24
sj,1994,21,31
sj,1994,22,34
sj,1994,23,31
sj,1994,24,31
sj,1994,25,38
sj,1994,26,49
sj,1994,27,42
sj,1994,28,49
sj,1994,29,55
sj,1994,30,80
sj,1994,31,84
sj,1994,32,72
sj,1994,33,89
sj,1994,34,115
sj,1994,35,179
sj,1994,36,202
sj,1994,37,272
sj,1994,38,302
sj,1994,39,395
sj,1994,40,426
sj,1994,41,461
sj,1994,42,381
sj,1994,43,333
sj,1994,44,353
sj,1994,45,410
sj,1994,46,364
sj,1994,47,359
sj,1994,48,288
sj,1994,49,221
sj,1994,50,149
sj,1994,51,112
sj,1995,52,154
sj,1995,1,91
sj,1995,2,72
sj,1995,3,56
sj,1995,4,46
sj,1995,5,37
sj,1995,6,26
sj,1995,7,17
sj,1995,8,17
sj,1995,9,20
sj,1995,10,11
sj,1995,11,7
sj,1995,12,16
sj,1995,13,14
sj,1995,14,16
sj,1995,15,5
sj,1995,16,2
sj,1995,17,6
sj,1995,18,5
sj,1995,19,4
sj,1995,20,3
sj,1995,21,4
sj,1995,22,16
sj,1995,23,8
sj,1995,24,7
sj,1995,25,10
sj,1995,26,14
sj,1995,27,7
sj,1995,28,9
sj,1995,29,11
sj,1995,30,23
sj,1995,31,17
sj,1995,32,19
sj,1995,33,24
sj,1995,34,17
sj,1995,35,28
sj,1995,36,40
sj,1995,37,33
sj,1995,38,31
sj,1995,39,33
sj,1995,40,29
sj,1995,41,30
sj,1995,42,36
sj,1995,43,48
sj,1995,44,40
sj,1995,45,28
sj,1995,46,36
sj,1995,47,19
sj,1995,48,34
sj,1995,49,23
sj,1995,50,17
sj,1995,51,17
sj,1996,1,23
sj,1996,2,14
sj,1996,3,20
sj,1996,4,13
sj,1996,5,23
sj,1996,6,20
sj,1996,7,16
sj,1996,8,16
sj,1996,9,23
sj,1996,10,14
sj,1996,11,15
sj,1996,12,4
sj,1996,13,5
sj,1996,14,5
sj,1996,15,11
sj,1996,16,11
sj,1996,17,7
sj,1996,18,4
sj,1996,19,6
sj,1996,20,5
sj,1996,21,2
sj,1996,22,4
sj,1996,23,2
sj,1996,24,4
sj,1996,25,6
sj,1996,26,6
sj,1996,27,4
sj,1996,28,6
sj,1996,29,11
sj,1996,30,16
sj,1996,31,9
sj,1996,32,12
sj,1996,33,13
sj,1996,34,27
sj,1996,35,21
sj,1996,36,19
sj,1996,37,17
sj,1996,38,24
sj,1996,39,27
sj,1996,40,30
sj,1996,41,29
sj,1996,42,25
sj,1996,43,35
sj,1996,44,33
sj,1996,45,30
sj,1996,46,29
sj,1996,47,31
sj,1996,48,29
sj,1996,49,22
sj,1996,50,27
sj,1996,51,24
sj,1996,52,26
sj,1997,1,29
sj,1997,2,22
sj,1997,3,33
sj,1997,4,24
sj,1997,5,30
sj,1997,6,20
sj,1997,7,17
sj,1997,8,24
sj,1997,9,28
sj,1997,10,18
sj,1997,11,13
sj,1997,12,9
sj,1997,13,14
sj,1997,14,11
sj,1997,15,11
sj,1997,16,19
sj,1997,17,10
sj,1997,18,8
sj,1997,19,8
sj,1997,20,9
sj,1997,21,3
sj,1997,22,7
sj,1997,23,14
sj,1997,24,4
sj,1997,25,9
sj,1997,26,14
sj,1997,27,7
sj,1997,28,9
sj,1997,29,3
sj,1997,30,3
sj,1997,31,14
sj,1997,32,12
sj,1997,33,10
sj,1997,34,21
sj,1997,35,26
sj,1997,36,47
sj,1997,37,42
sj,1997,38,31
sj,1997,39,34
sj,1997,40,33
sj,1997,41,52
sj,1997,42,56
sj,1997,43,70
sj,1997,44,112
sj,1997,45,70
sj,1997,46,47
sj,1997,47,48
sj,1997,48,49
sj,1997,49,66
sj,1997,50,56
sj,1997,51,61
sj,1997,52,67
sj,1998,2,68
sj,1998,3,49
sj,1998,4,50
sj,1998,5,56
sj,1998,6,75
sj,1998,7,63
sj,1998,8,62
sj,1998,9,41
sj,1998,10,50
sj,1998,11,34
sj,1998,12,31
sj,1998,13,38
sj,1998,14,30
sj,1998,15,32
sj,1998,16,26
sj,1998,17,30
sj,1998,18,36
sj,1998,19,35
sj,1998,20,46
sj,1998,21,48
sj,1998,22,44
sj,1998,23,51
sj,1998,24,59
sj,1998,25,71
sj,1998,26,102
sj,1998,27,128
sj,1998,28,127
sj,1998,29,150
sj,1998,30,191
sj,1998,31,256
sj,1998,32,329
sj,1998,33,263
sj,1998,34,220
sj,1998,35,204
sj,1998,36,181
sj,1998,37,99
sj,1998,38,54
sj,1998,39,80
sj,1998,40,102
sj,1998,41,127
sj,1998,42,73
sj,1998,43,68
sj,1998,44,64
sj,1998,45,55
sj,1998,46,67
sj,1998,47,84
sj,1998,48,85
sj,1998,49,67
sj,1998,50,73
sj,1998,51,89
sj,1998,52,68
